2023-09-25 01:07:53.950 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@2becfd4c
2023-09-25 01:07:53.950 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration integer -> org.hibernate.type.BasicTypeReference@7c71c889
2023-09-25 01:07:53.951 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration int -> org.hibernate.type.BasicTypeReference@7c71c889
2023-09-25 01:07:53.951 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@7c71c889
2023-09-25 01:07:53.951 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration long -> org.hibernate.type.BasicTypeReference@4cc8d70d
2023-09-25 01:07:53.951 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration long -> org.hibernate.type.BasicTypeReference@4cc8d70d
2023-09-25 01:07:53.951 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@4cc8d70d
2023-09-25 01:07:53.951 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration float -> org.hibernate.type.BasicTypeReference@5c59a0f7
2023-09-25 01:07:53.952 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration float -> org.hibernate.type.BasicTypeReference@5c59a0f7
2023-09-25 01:07:53.952 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@5c59a0f7
2023-09-25 01:07:53.952 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration double -> org.hibernate.type.BasicTypeReference@101330ad
2023-09-25 01:07:53.952 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration double -> org.hibernate.type.BasicTypeReference@101330ad
2023-09-25 01:07:53.952 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@101330ad
2023-09-25 01:07:53.952 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@625487a6
2023-09-25 01:07:53.952 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@625487a6
2023-09-25 01:07:53.952 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@682e445e
2023-09-25 01:07:53.952 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@682e445e
2023-09-25 01:07:53.953 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration character -> org.hibernate.type.BasicTypeReference@79e10fb4
2023-09-25 01:07:53.953 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration char -> org.hibernate.type.BasicTypeReference@79e10fb4
2023-09-25 01:07:53.953 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.lang.Character -> org.hibernate.type.BasicTypeReference@79e10fb4
2023-09-25 01:07:53.953 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration character_nchar -> org.hibernate.type.BasicTypeReference@70fede7d
2023-09-25 01:07:53.953 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration string -> org.hibernate.type.BasicTypeReference@36510e73
2023-09-25 01:07:53.953 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.lang.String -> org.hibernate.type.BasicTypeReference@36510e73
2023-09-25 01:07:53.953 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration nstring -> org.hibernate.type.BasicTypeReference@2c47a053
2023-09-25 01:07:53.953 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration characters -> org.hibernate.type.BasicTypeReference@5d2a86c0
2023-09-25 01:07:53.953 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration char[] -> org.hibernate.type.BasicTypeReference@5d2a86c0
2023-09-25 01:07:53.953 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration [C -> org.hibernate.type.BasicTypeReference@5d2a86c0
2023-09-25 01:07:53.953 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration wrapper-characters -> org.hibernate.type.BasicTypeReference@5ba1b62e
